medicine_id,medicine_name,category,price,stock,expiry_date
M0001,Ibuprofen,Syrup,224.71,139,2024-07-08
M0002,Ibuprofen,Tablet,337.25,141,2025-08-26
M0003,Aspirin,Tablet,470.08,34,2025-10-01
M0004,Paracetamol,Tablet,373.78,39,2025-09-23
M0005,Ibuprofen,Syrup,361.63,52,2024-07-25
M0006,Aspirin,Capsule,257.65,64,2023-12-14
M0007,Paracetamol,Tablet,320.8,70,2026-05-14
M0008,Paracetamol,Capsule,387.85,163,2025-10-03
M0009,Amoxicillin,Injection,280.32,109,2024-12-01
M0010,Paracetamol,Tablet,46.87,176,2023-12-16
M0011,Amoxicillin,Tablet,418.95,149,2024-12-10
M0012,Amoxicillin,Injection,72.45,78,2025-06-20
M0013,Paracetamol,Capsule,112.94,63,2024-08-15
M0014,Paracetamol,Capsule,392.26,104,2023-10-05
M0015,Metformin,Syrup,463.62,60,2024-01-25
M0016,Amoxicillin,Syrup,441.89,6,2025-12-27
M0017,Aspirin,Capsule,393.37,105,2024-03-29
M0018,Aspirin,Syrup,140.73,179,2026-03-10
M0019,Cetirizine,Tablet,430.71,56,2025-12-06
M0020,Cetirizine,Capsule,159.54,58,2025-11-12
M0021,Paracetamol,Syrup,205.25,71,2024-01-25
M0022,Paracetamol,Capsule,182.06,130,2025-05-15
M0023,Aspirin,Capsule,470.23,29,2024-01-12
M0024,Ibuprofen,Syrup,294.49,67,2026-05-20
M0025,Paracetamol,Injection,179.39,80,2025-04-08
M0026,Metformin,Tablet,198.75,147,2025-12-16
M0027,Ibuprofen,Tablet,357.3,0,2025-01-12
M0028,Metformin,Syrup,188.47,17,2023-10-31
M0029,Aspirin,Capsule,315.35,169,2024-02-11
M0030,Paracetamol,Capsule,258.49,170,2025-05-06
M0031,Ibuprofen,Injection,351.63,141,2026-02-18
M0032,Amoxicillin,Injection,335.82,97,2024-08-04
M0033,Aspirin,Syrup,311.6,77,2025-05-09
M0034,Metformin,Tablet,158.9,53,2025-04-14
M0035,Metformin,Capsule,237.84,113,2024-08-06
M0036,Amoxicillin,Injection,398.93,188,2026-01-06
M0037,Aspirin,Tablet,149.06,169,2024-09-18
M0038,Metformin,Capsule,55.76,192,2025-10-31
M0039,Aspirin,Capsule,120.07,50,2026-01-29
M0040,Paracetamol,Tablet,129.97,121,2024-10-11
M0041,Paracetamol,Injection,213.08,161,2024-11-16
M0042,Amoxicillin,Injection,252.24,62,2026-01-28
M0043,Aspirin,Tablet,447.4,197,2024-01-04
M0044,Paracetamol,Injection,117.23,178,2025-01-14
M0045,Cetirizine,Tablet,283.13,31,2025-03-18
M0046,Amoxicillin,Injection,337.11,143,2024-10-27
M0047,Ibuprofen,Injection,310.2,184,2023-12-28
M0048,Metformin,Injection,416.98,140,2025-03-29
